source_path,source_sha256,bytes,read_complete,indexed,knowledge_extracted,source_cross_referenced,category,preservation_status,redacted,qa_status
00-PDPOne-Transfer-Package-README.md,a22c8c4711446e8782b3ebdeb1c2622c8b5e8472e94afd457a4e6aab79510d58,3595,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
01-PDPOne-Executive-Summary.md,03913a76957cb064107e6fc46c96fc05f7a095370428b6a629de59e0f8a2c515,2978,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
03-PDPOne-Decision-Log.md,af5abf8bc3e7bc416488fce4cdfe1a78521fd6f7581ea38ba50e736d612532c9,3079,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
04-PDPOne-Implementation-History.md,d908bc95340e553fbb850638139c38e25307420689c0c2a916c66778bf3c1070,2542,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
05-PDPOne-Current-Technical-State.md,67025dffc8a928056b3f415a9077c646038103afe9bc5d972603d16e9005f09d,2254,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
06-PDPOne-Asset-Inventory.md,bbd6a6241c81eaca6773c072f47cc6dc4a6b471196ca47d7aefa31c17a1becce,2012,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
09-PDPOne-Issues-And-Lessons.md,47f8cab56ec5ae766daf04ca82403609acaff937d114b3cdbfed36eba87b9c17,2281,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
10-PDPOne-Backlog-And-Roadmap.md,f71865ef22f543ffc7c0c25396a9f01b706182361b14ddf823132cceb451ecb7,1478,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
11-PDPOne-Recovery-And-Restart-Guide.md,01d9c5a36006cbca6bf432bbcf22b3fe497ef91acbf0f542e2b55430306eeff2,1458,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
13-PDPOne-New-Chat-Master-Prompt.md,c472c3a387016eeb44fe8860d0440902a8744331424ec7893a11d35982ba2e56,2087,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
14-PDPOne-Complete-Project-Dossier.md,1ee729bb74f58bf52893becf1b1ee8074d419cc665f00f2d2fcc1d2feffd4c1b,4409,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
15-PDPOne-Conversation-Chronology.md,f900abbd9f3b180bdbbbae1733692382e37fe33fcd20599ef695e39b41aef38c,1321,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
17-PDPOne-Backup-And-Restore.md,389c5dc86c4e9d23416e5574e48611954c9044af32a4dbd7346a1feb72974894,1669,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
19-PDPOne-Verification-And-Test-Report.md,9e4f19f044051c766c465cf846076ebc052d4671395d2cd55704113ebe05ddcb,1459,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
20-PDPOne-Conversation-Evidence-Index.md,590a79cb78be01c739d3ec523e5e2a7f1642f688a0ff2094d84b6eea7797e975,2728,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
21-PDPOne-Open-Questions-And-Unverified-Items.md,109c12ef7d50a59400a4411fb55ccd075a04df8e68bc9f9a9e2dca338db655d7,1815,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
22-PDPOne-Immediate-Next-Actions.md,ab28806b1d282775059e6817d4e86797e0c00bd1b4e0743fa4a91fe03f3c3938,1243,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
33-PDPOne-Procurement-Current-State.md,5a92d529f17184ab4ebc3e60d1cca978feb2de1859beab3c5141652aaa78c30d,1694,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
35-PDPOne-Connector-Registry-And-Test-Matrix.md,88eb31ca5a82ba89554a524aebf12626537830c51902249c403a3e00944fbcb1,1594,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
38-PDPOne-Deployment-Gates-And-Release-History.md,c322116d39fa865ab80abedd03263e194a0758e48b6184cf0e6c906c85daed1c,2212,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
39-PDPOne-GitHub-Branches-PRs-Commits-And-Artifacts.md,a7e0b3e62c7d0cd91266f63a85b47ea1f6779ed2c2242e9acefdd9a78e13791e,1835,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
42-PDPOne-Contradiction-And-Supersession-Register.md,34901981acac8b70ee7f3f24590733ff1edbba743e65556c343d489434f3db53,1592,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
43-PDPOne-Transfer-Package-QA-Report.md,e993da9e0e5f80a4246054d0f0c245fdfcd66ce18fd03bcf4e97f492079ae61b,1495,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
44-PDPOne-Release-v1.1.0-trial-Baseline.md,7801456e045d5ea3a68467d315290708c59e07711c53fab1555ba0ef430952e2,1072,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
45-PDPOne-V25-Operational-Baseline.md,da1a13a4d8627305904098d49ee8fe6d577c520c656cfff4738ba35459e93dba,1309,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
access-matrix.csv,8ac9fd7467702ae8b6a060665fc3c8265611374c2b2c959744ec0a6b12db392c,901,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
assets-manifest.csv,b66d7ee5817bc56aa82767708931011e842233e7173265927a6c75915f16c9a9,2493,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
attachments/11_KEYWORD_POLICY_AND_LISTS.md,5bde353ad903cfb12618220c932d9d1fac31de93948115f1c7ddf432f9732da5,16580,complete,yes,yes,yes,attachments,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
attachments/PDP-G-14-company-resume.pdf,2a8fe53332602c8f1dbf36abfb1abf2e5de79a7a91ed48b6722ec3b9ee527c93,10819491,partial-visual+full-text-extraction,yes,yes,yes,attachments,Manifested External Source + derived text/index; binary source not embedded in repository bootstrap,no,PASS
attachments/PDP-One-Hotfix-Handoff-To-Procurement-Branch-2026-07-22.md,b9e0a5fedc4156852d1e2260b8da7d9ebb0429faf89c13c3da7e1325177899ac,13897,complete,yes,yes,yes,attachments,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
attachments/PDPOne-14050426-01-historical-restart-guide.txt,edd23cfff0fff7190467e8f98c8c9ec6725ed087b39aa73761faa3f13cdbd1ad,1446,complete,yes,yes,yes,attachments,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
